STATION_ID,ANALYTE_NAME,COLLECTION_DATE,RESULT,RESULT_UNITS,Uncertainty
9054,Caesium-137,10/3/23,70.83602498,Bq/m3,
9054,Caesium-137,10/5/15,73.61,Bq/m3,
10202,Caesium-137,10/5/15,103.02,Bq/m3,
9054,Caesium-137,10/5/21,64.65331615,Bq/m3,
9054,Caesium-137,10/6/20,64.42818329,Bq/m3,
10202,Caesium-137,10/6/20,114.0429759,Bq/m3,
10202,Caesium-137,10/9/18,111.0430157,Bq/m3,
9054,Caesium-137,11/10/21,84.03875433,Bq/m3,
10202,Caesium-137,11/24/21,123.039234,Bq/m3,
9054,Caesium-137,11/3/20,65.03684492,Bq/m3,
10202,Caesium-137,11/3/20,137.0780191,Bq/m3,
10202,Caesium-137,11/5/19,105.013285,Bq/m3,
10202,Caesium-137,12/1/20,125.1031659,Bq/m3,
9054,Caesium-137,12/10/18,65.31256552,Bq/m3,
10202,Caesium-137,12/18/19,115.1079579,Bq/m3,
9054,Caesium-137,12/19/19,62.77159885,Bq/m3,
9054,Caesium-137,12/2/20,64.75339868,Bq/m3,
10202,Caesium-137,12/2/21,140.1247788,Bq/m3,
9054,Caesium-137,12/6/21,63.13194061,Bq/m3,
10202,Caesium-137,2/1/11,78.91,Bq/m3,
9054,Caesium-137,2/1/21,64.92874438,Bq/m3,
10202,Caesium-137,2/1/21,114.0501903,Bq/m3,
10202,Caesium-137,2/1/22,122.0617552,Bq/m3,
9054,Caesium-137,2/2/22,64.83280114,Bq/m3,
9054,Caesium-137,2/4/20,67.02490447,Bq/m3,
10202,Caesium-137,2/4/20,122.0466352,Bq/m3,
10202,Caesium-137,3/1/21,147.0751853,Bq/m3,
9054,Caesium-137,3/2/21,74.8429918,Bq/m3,
10202,Caesium-137,3/3/20,107.0394907,Bq/m3,
9054,Caesium-137,3/7/18,66.72496883,Bq/m3,
10202,Caesium-137,4/10/18,110.0487193,Bq/m3,
9054,Caesium-137,4/10/19,64.75749497,Bq/m3,
10202,Caesium-137,4/12/21,125.0550332,Bq/m3,
9054,Caesium-137,4/13/21,63.62833631,Bq/m3,
10202,Caesium-137,4/2/14,98.88,Bq/m3,
10202,Caesium-137,4/20/22,130.1072926,Bq/m3,
9054,Caesium-137,4/21/22,67.05512019,Bq/m3,
10202,Caesium-137,4/22/15,103.03,Bq/m3,
9054,Caesium-137,4/3/17,64.32830908,Bq/m3,
9054,Caesium-137,4/3/23,62.15485685,Bq/m3,
10202,Caesium-137,4/3/23,112.0992321,Bq/m3,
10202,Caesium-137,4/4/11,84.76,Bq/m3,
9054,Caesium-137,4/4/16,68.73477528,Bq/m3,
10202,Caesium-137,4/4/16,112.0493098,Bq/m3,
10202,Caesium-137,4/4/17,110.041468,Bq/m3,
10202,Caesium-137,4/8/13,83.72,Bq/m3,
9054,Caesium-137,4/8/20,61.72765248,Bq/m3,
10202,Caesium-137,4/8/20,106.0396806,Bq/m3,
9054,Caesium-137,4/9/18,65.8293165,Bq/m3,
10202,Caesium-137,4/9/19,128.1137458,Bq/m3,
10202,Caesium-137,5/10/21,113.0300857,Bq/m3,
9054,Caesium-137,5/11/21,76.91094596,Bq/m3,
9054,Caesium-137,5/12/20,65.32461693,Bq/m3,
10202,Caesium-137,5/12/20,98.11292916,Bq/m3,
10202,Caesium-137,6/10/21,117.0299168,Bq/m3,
9054,Caesium-137,6/2/20,66.82940975,Bq/m3,
10202,Caesium-137,6/2/20,107.0406192,Bq/m3,
9054,Caesium-137,6/20/13,61.32,Bq/m3,
10202,Caesium-137,6/6/12,84.83,Bq/m3,
9054,Caesium-137,6/7/21,64.61719945,Bq/m3,
9054,Caesium-137,7/14/14,64.03,Bq/m3,
10202,Caesium-137,7/14/14,97.44,Bq/m3,
10202,Caesium-137,7/18/22,118.0522625,Bq/m3,
9054,Caesium-137,7/19/22,73.26562773,Bq/m3,
9054,Caesium-137,7/2/12,62.33,Bq/m3,
10202,Caesium-137,7/2/12,81.62,Bq/m3,
10202,Caesium-137,7/2/13,85.57,Bq/m3,
9054,Caesium-137,7/3/23,66.68853113,Bq/m3,
10202,Caesium-137,7/3/23,132.1754671,Bq/m3,
9054,Caesium-137,7/4/11,89.88,Bq/m3,
9054,Caesium-137,7/6/21,66.0294056,Bq/m3,
10202,Caesium-137,7/6/21,123.054477,Bq/m3,
10202,Caesium-137,7/7/15,104.04,Bq/m3,
9054,Caesium-137,7/7/20,66.52927767,Bq/m3,
10202,Caesium-137,7/7/20,112.0425173,Bq/m3,
10202,Caesium-137,8/1/11,84.15,Bq/m3,
10202,Caesium-137,8/11/10,60.05,Bq/m3,
9054,Caesium-137,8/12/10,77.64,Bq/m3,
10202,Caesium-137,8/2/21,137.0776578,Bq/m3,
9054,Caesium-137,8/22/13,96.34,Bq/m3,
9054,Caesium-137,8/3/21,64.48169755,Bq/m3,
9054,Caesium-137,8/4/20,62.73554118,Bq/m3,
10202,Caesium-137,8/4/20,133.0596075,Bq/m3,
10202,Caesium-137,9/6/21,126.0558057,Bq/m3,
9054,Caesium-137,9/7/21,77.11036469,Bq/m3,
9054,Caesium-137,9/8/20,66.42923364,Bq/m3,
10202,Caesium-137,9/8/20,143.0618268,Bq/m3,
9054,Calcium,1/10/22,30.5,mg/l,3.05
10202,Calcium,1/11/22,38.7,mg/l,3.87
10202,Calcium,1/23/23,33.4,mg/l,3.34
